#,pxzqmc,sxzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
1,安徽省,安庆市,2015-01-01,4,1.8600,14,26.8800,39,56.3300,13,11.8400,0,0.0000,7,14.1100,0,0.0000,0,0.0000
2,安徽省,安庆市,2015-02-01,5,4.3100,20,32.2100,13,19.4900,4,3.4200,0,0.0000,0,0.0000,0,0.0000,0,0.0000
3,安徽省,安庆市,2015-03-01,5,8.5300,26,23.7000,10,22.1700,35,6.6400,0,0.0000,4,22.3200,0,0.0000,0,0.0000
4,安徽省,安庆市,2015-04-01,6,16.8400,18,31.2700,15,32.0600,6,5.5100,0,0.0000,0,0.0000,0,0.0000,0,0.0000
5,安徽省,安庆市,2015-05-01,9,5.8200,41,80.6600,17,6.4000,22,16.4200,0,0.0000,2,83.3300,0,0.0000,0,0.0000
6,安徽省,安庆市,2015-06-01,7,1.1800,8,60.2300,11,80.7400,8,4.5100,0,0.0000,4,1.7200,0,0.0000,0,0.0000
7,安徽省,安庆市,2015-07-01,9,8.8500,20,30.0300,18,40.9700,6,6.7400,1,11.0000,7,58.9400,0,0.0000,0,0.0000
8,安徽省,安庆市,2015-08-01,4,1.1600,5,34.8400,25,50.4800,12,16.2900,0,0.0000,21,133.3000,0,0.0000,0,0.0000
9,安徽省,安庆市,2015-09-01,9,8.0700,22,35.8800,22,32.3800,11,8.5700,0,0.0000,16,216.2200,0,0.0000,0,0.0000
10,安徽省,安庆市,2015-10-01,1,0.2500,19,29.4400,11,25.5800,9,23.7300,2,4.0000,0,0.0000,0,0.0000,0,0.0000
11,安徽省,安庆市,2015-11-01,10,26.9900,18,19.8900,27,34.3800,17,36.5800,0,0.0000,3,3.7900,0,0.0000,0,0.0000
12,安徽省,安庆市,2015-12-01,5,4.6600,26,55.2400,42,68.3900,119,729.8800,1,4.0000,51,90.3400,0,0.0000,0,0.0000
13,安徽省,安庆市,2016-01-01,3,1.3300,10,22.1000,10,10.5900,16,24.0500,0,0.0000,0,0.0000,0,0.0000,0,0.0000
14,安徽省,安庆市,2016-02-01,5,11.6300,6,12.2600,14,6.2800,2,2.0800,0,0.0000,2,2.7100,0,0.0000,0,0.0000
15,安徽省,安庆市,2016-03-01,102,52.6100,10,31.8500,25,42.2300,11,6.1400,2,2.6300,10,58.4500,0,0.0000,0,0.0000
16,安徽省,安庆市,2016-04-01,1,0.1800,18,28.1300,7,5.5600,3,15.5600,0,0.0000,5,8.8900,0,0.0000,0,0.0000
17,安徽省,安庆市,2016-05-01,2,13.6800,8,8.9000,6,3.7700,32,58.0400,0,0.0000,18,54.9200,0,0.0000,0,0.0000
18,安徽省,安庆市,2016-06-01,4,0.3200,19,48.0400,34,33.2400,15,30.2300,1,5.3300,3,9.1400,0,0.0000,0,0.0000
19,安徽省,安庆市,2016-07-01,17,2.5200,8,15.4600,6,4.4100,6,8.1000,0,0.0000,3,38.6100,0,0.0000,0,0.0000
