#,xzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
1,安徽省,2015-01-01,60,64.8654,194,712.1454,205,469.8929,132,342.4568,1,4.0628,80,612.4939,1,1.2413,0,0.0000
2,安徽省,2015-02-01,61,121.3145,168,438.0002,95,205.2103,33,104.5090,1,4.2000,35,261.0811,0,0.0000,0,0.0000
3,安徽省,2015-03-01,70,103.9656,163,407.0041,135,435.5377,211,328.7607,3,4.9692,64,277.9356,0,0.0000,2,0.2533
4,安徽省,2015-04-01,83,231.4427,211,566.9980,258,436.1660,86,348.0706,1,1.3331,67,470.9738,1,23.6028,0,0.0000
5,安徽省,2015-05-01,111,223.0752,292,754.2983,171,515.2761,159,332.1511,6,8.2412,102,869.0018,6,256.2310,5,0.7453
6,安徽省,2015-06-01,95,176.4089,200,577.3332,166,679.6417,117,140.2820,1,0.8301,56,441.0931,3,10.7769,0,0.0000
7,安徽省,2015-07-01,105,244.0739,309,734.8745,148,463.3773,147,276.7889,5,20.0155,65,1257.6308,0,0.0000,0,0.0000
8,安徽省,2015-08-01,115,353.2135,297,716.7257,213,721.3941,127,250.6198,4,1.6327,74,426.1290,7,18.9360,0,0.0000
9,安徽省,2015-09-01,153,477.2474,310,892.6650,260,977.3628,157,496.4493,10,25.6820,162,1587.2902,7,135.3501,0,0.0000
10,安徽省,2015-10-01,108,387.8242,191,600.1964,183,655.0550,173,576.0528,3,4.1040,106,870.0754,1,49.1799,0,0.0000
11,安徽省,2015-11-01,204,584.5775,390,1066.7337,391,1269.8186,233,430.1676,2,6.1621,196,1280.0156,3,14.3550,1,91.3900
12,安徽省,2015-12-01,123,336.8908,302,940.2186,283,914.0002,542,1633.1926,11,43.5480,289,1493.9469,8,21.7736,8,87.1838
13,安徽省,2016-01-01,56,91.2200,198,523.9600,97,247.7100,104,264.7600,2,1.9100,83,682.0300,0,0.0000,0,0.0000
14,安徽省,2016-02-01,54,219.9500,163,580.2700,103,255.5600,46,140.2700,4,6.5000,27,229.9900,0,0.0000,0,0.0000
15,安徽省,2016-03-01,214,176.1800,194,498.5300,166,541.2600,191,630.4700,7,21.8300,124,639.9400,1,3.5900,0,0.0000
16,安徽省,2016-04-01,69,133.1700,293,767.2700,125,431.4200,110,328.8800,4,5.6800,55,532.5200,2,7.6400,0,0.0000
17,安徽省,2016-05-01,63,182.2100,203,499.5100,131,514.4100,155,599.9900,4,22.9400,82,1188.7200,3,12.5400,6,10.6200
