OBJECTID,BSM,YSDM,TBYBH,TBBH,DLBM,DLMC,QSXZ,QSDWDM,QSDWMC,ZLDWDM,ZLDWMC,TBMJ,KCDLBM,KCXS,KCMJ,TBDLMJ,GDLX,XZDWKD,TBXHDM,TBXHMC,ZZSXDM,ZZSXMC,GDDB,CZCSXM,SJNF,MSSM,GDPDJB,FRDBS,HDMC,BZ,Shape_Leng,Shape_Area,centroid_x,centroid_y,area
1,360726211000047923,2001010100,,1,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,3233.97,,0.0,0.0,3233.97,,0.0,,,,,0,,2019,0,,0,,,230.935859096,3235.65939577,38645343.66373388,2775174.122876953,3235.6593957657224
2,360726211000047924,2001010100,,2,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,21515.65,,0.0,0.0,21515.65,,0.0,,,,,0,,2019,0,,0,,,912.370857506,21526.8278425,38645066.22369043,2775104.2993737464,21526.827842541454
3,360726211000047925,2001010100,,3,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,3128.13,,0.0,0.0,3128.13,,0.0,,,,,0,,2019,0,,0,,,307.162047758,3129.75900675,38645287.91485452,2775212.2466428312,3129.759006752538
4,360726211000047926,2001010100,,4,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,1838.19,,0.0,0.0,1838.19,,0.0,,,,,0,,2019,0,,0,,,178.455976898,1839.14624791,38645276.19817704,2775261.714856962,1839.146247911292
5,360726211000047927,2001010100,,5,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,5464.4,,0.0,0.0,5464.4,,0.0,,,,,0,,2019,0,,0,,,298.15183301,5467.42846015,38649693.8907769,2775252.5570989237,5467.4284601524205
6,360726211000047928,2001010100,,6,0201,果园,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,7938.88,,0.0,0.0,7938.88,,0.0,,,,,0,,2019,0,,0,,,460.567505222,7943.07050529,38646241.90206959,2775263.868329798,7943.070505289341
7,360726211000047929,2001010100,,7,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,4166.85,,0.0,0.0,4166.85,,0.0,,,,,0,,2019,0,,0,,,273.773880063,4169.07547624,38647149.4221069,2775303.0086661098,4169.075476238762
8,360726211000047930,2001010100,,1,1107,沟渠,10,3607261002100000000,欣山镇金石村,3607261002100000000,欣山镇金石村,655.93,,0.0,0.0,655.93,,4.0,,,,,0,,2019,0,,0,,,335.906700926,656.252354153,38641471.359090574,2780037.2780895354,656.2523541530946
9,360726211000047931,2001010100,,1,0201,果园,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,11282.59,,0.0,0.0,11282.59,,0.0,,,,,0,,2019,0,,0,,,578.709405914,11288.6203806,38647147.82589484,2779993.424248625,11288.620380587638
10,360726211000047932,2001010100,,2,0301,乔木林地,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,4240.11,,0.0,0.0,4240.11,,0.0,,,,,0,,2019,0,,0,,,283.733441113,4242.29500005,38644510.93995325,2780064.4900963483,4242.29500004742
11,360726211000047934,2001010100,,3,0301,乔木林地,30,3607261002100000000,欣山镇金石村,3607261002100000000,欣山镇金石村,4969.6,,0.0,0.0,4969.6,,0.0,,,,,0,,2019,0,,0,,,325.881901512,4972.1062303,38642757.10416303,2780075.6339474157,4972.106230298103
